Material	Material_Descr	Average_Price	Base UoM	No. Cases/Truck	Plant	Plant Descr.	Material Group	Material Grp. Descr.	Purchasing Group	Purch Grp. Descr.	Product Hierarchy	Product Hier. Descr.	Weight of a Truck	FDC_ID	Team Member
100494	RICE US#1 LONG GRAIN PARBOILED BAG-25 LB	0.8056	lb	1680	1000	DOMESTIC STATISTICAL 1000	507010	RICE, GRAIN	210	AMS-DOMESTIC	103202006031100	RICE/PARBOIL/BAG	42000	2403163	Dojun
100500	RICE BRN US#1 LONG PARBOILED PKG-24/2 LB	0.9604	lb	875	1000	DOMESTIC STATISTICAL 1000	507010	RICE, GRAIN	210	AMS-DOMESTIC	103202006031460	RICE/PARBOIL/PACKAGE	42000	169708	Dojun
100514	APPLES RED DELICIOUS FRESH CTN-40 LB	0.5415	lb	924	1000	DOMESTIC STATISTICAL 1000	702030	FRUIT, FRESH	110	AMS-FRUIT & VEG	101202001031380	FRUIT/APPLES/FRESH	35574	454004	Dojun
100875	MILK 1% MILKFAT UHT 2640 BOX-27/8 FL OZ	0.7696	lb	2640	1000	DOMESTIC STATISTICAL 1000	402010	MILK, UHT	220	AMS-DAIRY	102002004031160	MILK/UHT/BOX	38142.72	2340764	Dojun
100877	CHICKEN BONED CAN-12/50 OZ	2.36	lb	1000	1000	DOMESTIC STATISTICAL 1000	301010	CHICKEN, CANNED	120	AMS-POULTRY	102802001031220	POULTRY/EGGS/CHICKEN/CANNED	37500	171110	Dojun
100912	FLOUR BREAD-BULK	0.3573	lb	0	1000	DOMESTIC STATISTICAL 1000	506015	FLOUR, BAKERY	210	AMS-DOMESTIC	10080	FLOUR	45000	2343066	Dojun
100935	SUNFLOWER SEED BUTTER 6-5#'S	1.9337	lb	1232	1000	DOMESTIC STATISTICAL 1000	601050	SEED BUTTER	210	AMS-DOMESTIC	102402000531175	OIL/BUTTERY SPREAD/TUB	36960	2024383	Dojun
101031	RICE BRN US#1 LONG PARBOILED BAG-25 LB	0.8073	lb	1680	1000	DOMESTIC STATISTICAL 1000	507010	RICE, GRAIN	210	AMS-DOMESTIC	103202006031460	RICE/PARBOIL/PACKAGE	42000	505069	Dojun
110053	K APPLESAUCE CAN-6/10	0.6921	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202001031220	FRUIT/APPLES/CANNED	36936	171695	Dojun
110054	K PEACHES CLING CAN-6/10	1.2153	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202013031220	FRUIT/PEACHES/CANNED	36252	794295	Dojun
