Material,Material_Descr,Average Price,Base UoM,No. Cases/Truck,Plant,Plant Descr.,Material Group,Material Grp. Descr.,Purchasing Group,Purch Grp. Descr.,Product Hierarchy,Product Hier. Descr.,Weight of a Truck,FDC_ID,Team Member,,,,,,,,,,
100173,PORK ROAST LEG FRZ CTN-32-40 LB, 	1.9548 ,LB,"1,000",1000,DOMESTIC STATISTICAL 1000,102035,"PORK, FROZEN",130,AMS-LIVESTOCK,101802006031400,MEAT/PORK/FROZEN,"40,000.000",168371,Angela,,,,,,,,,,
100184,PORK HAM WATERAD FRZ PKG 4/10 LB, 	2.4300 ,LB,"1,000",1000,DOMESTIC STATISTICAL 1000,102050,"HAM, FULLY COOKED",130,AMS-LIVESTOCK,101802006031400,MEAT/PORK/FROZEN,"40,000.000",N/A,Angela,,,,,,,,,,
100187,PORK HAM WATERAD SLC FRZ PKG-8/5 LB, 	2.7358 ,LB,"1,000",1000,DOMESTIC STATISTICAL 1000,102050,"HAM, FULLY COOKED",130,AMS-LIVESTOCK,101802006031400,MEAT/PORK/FROZEN,"40,000.000",169177,Angela,,,,,,,,,,
100188,PORK HAM WTRADCBEDFRZ PKG-4/10 OR 8/5 LB, 	2.6154 ,LB,"1,000",1000,DOMESTIC STATISTICAL 1000,102050,"HAM, FULLY COOKED",130,AMS-LIVESTOCK,101802006031400,MEAT/PORK/FROZEN,"40,000.000",N/A,Angela,,,,,,,,,,
100193,PORK PICNIC BNLS FRZ CTN-60 LB, 	1.4044 ,LB,0,1000,DOMESTIC STATISTICAL 1000,102035,"PORK, FROZEN",130,AMS-LIVESTOCK,101802006031400,MEAT/PORK/FROZEN,"40,020.000",172933,Angela,,,,,,,,,,
100195,TUNA CHUNK LIGHT CAN-6/66.5 OZ,TBD,LB,"1,440",1000,DOMESTIC STATISTICAL 1000,205010,"FISH, CANNED",130,AMS-LIVESTOCK,100602003031220,FISH/TUNA/CANNED,"35,910.720",334194,Angela,,,,,,,,,,
100201,CATFISH STRIPS BRD OVN RDY PKG-4/10 LB, 	6.6825 ,LB,"1,000",1000,DOMESTIC STATISTICAL 1000,205030,"FISH, FROZEN",130,AMS-LIVESTOCK,100602001031400,FISH/CATFISH/FROZEN,"40,000.000",475087,Angela,,,,,,,,,,
100206,APPLE SLICES CAN-6/10, 	1.1314 ,LB,912,1000,DOMESTIC STATISTICAL 1000,702010,"FRUIT, CANNED",110,AMS-FRUIT & VEG,101202001031220,FRUIT/APPLES/CANNED,"35,568.000",2627631,Angela,,,,,,,,,,
100212,MIXED FRUIT EX LT CAN-6/10, 	1.0811 ,LB,912,1000,DOMESTIC STATISTICAL 1000,702010,"FRUIT, CANNED",110,AMS-FRUIT & VEG,101202009031220,FRUIT/FRUIT COCKTAIL/CANNED,"36,252.000",2099689,Angela,,,,,,,,,,
100216,APRICOTS DICED PEELED EX LT CAN-6/10, 	1.1914 ,LB,912,1000,DOMESTIC STATISTICAL 1000,702010,"FRUIT, CANNED",110,AMS-FRUIT & VEG,101202002031220,FRUIT/APRICOT/CANNED,"36,936.000",462605,Kevin,,,,,,,,,,
100219,PEACHES CLING SLICES EX LT CAN-6/10, 	1.0731 ,LB,912,1000,DOMESTIC STATISTICAL 1000,702010,"FRUIT, CANNED",110,AMS-FRUIT & VEG,101202013031220,FRUIT/PEACHES/CANNED,"36,252.000",562821,Kevin,,,,,,,,,,
100220,PEACHES CLING DICED EX LT  CAN-6/10, 	1.0706 ,LB,912,1000,DOMESTIC STATISTICAL 1000,702010,"FRUIT, CANNED",110,AMS-FRUIT & VEG,101202013031220,FRUIT/PEACHES/CANNED,"36,252.000",1743245,Kevin,,,,,,,,,,
100224,PEARS SLICES EX LT CAN-6/10, 	1.2394 ,LB,912,1000,DOMESTIC STATISTICAL 1000,702010,"FRUIT, CANNED",110,AMS-FRUIT & VEG,101202014031220,FRUIT/PEAR/CANNED,"36,024.000",381417,Kevin,,,,,,,,,,
100225,PEARS DICED EX LT CAN-6/10, 	1.0993 ,LB,912,1000,DOMESTIC STATISTICAL 1000,702010,"FRUIT, CANNED",110,AMS-FRUIT & VEG,101202014031220,FRUIT/PEAR/CANNED,"36,024.000",534243,Kevin,,,,,,,,,,
100226,PEARS HALVES EX LT CAN-6/10, 	1.3109 ,LB,912,1000,DOMESTIC STATISTICAL 1000,702010,"FRUIT, CANNED",110,AMS-FRUIT & VEG,101202014031220,FRUIT/PEAR/CANNED,"36,024.000",359054,Kevin,,,,,,,,,,
100238,PEACHES FREESTONE SLICES FRZ CTN-12/2 LB, 	1.7447 ,LB,"1,452",1000,DOMESTIC STATISTICAL 1000,702040,"FRUIT, FROZEN",110,AMS-FRUIT & VEG,101202013031400,FRUIT/PEACHES/FROZEN,"34,848.000",2561820,Kevin,,,,,,,,,,
100239,PEACHES FREESTONE SLICES FRZ CTN-20 LB, 	1.5467 ,LB,"1,900",1000,DOMESTIC STATISTICAL 1000,702040,"FRUIT, FROZEN",110,AMS-FRUIT & VEG,101202013031400,FRUIT/PEACHES/FROZEN,"38,000.000",N/A,Kevin,,,,,,,,,,
100241,PEACH FREESTONE DICED FRZ CUP-96/4.4 OZ, 	1.7016 ,LB,"1,400",1000,DOMESTIC STATISTICAL 1000,702040,"FRUIT, FROZEN",110,AMS-FRUIT & VEG,101202013031400,FRUIT/PEACHES/FROZEN,"36,960.000",671632,Kevin,,,,,,,,,,
100242,BLUEBERRY WILD FRZ CTN-8/3 LB, 	1.4417 ,LB,"1,440",1000,DOMESTIC STATISTICAL 1000,702040,"FRUIT, FROZEN",110,AMS-FRUIT & VEG,101202004031400,FRUIT/BLUEBERRY/FROZEN,"34,560.000",173950,Kevin,,,,,,,,,,
100243,BLUEBERRY WILD FRZ CTN-30 LB, 	1.3879 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,702040,"FRUIT, FROZEN",110,AMS-FRUIT & VEG,101202004031400,FRUIT/BLUEBERRY/FROZEN,"39,600.000",N/A,Kevin,,,,,,,,,,
100254,STRAWBERRY SLICES FRZ CTN-30 LB, 	1.4695 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,702040,"FRUIT, FROZEN",110,AMS-FRUIT & VEG,101202019031400,FRUIT/STRAWBERRY/FROZEN,"39,600.000",401463,Kevin,,,,,,,,,,
